,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,DLG-(2-1)FUC,"Other_90; Carbohydrates_90;
",O([C@@H]1C[C@@H](O)[C@H](O[C@H]1OCCCCCC)CO)[C@@H]1O[C@H]([C@@H](O)[C@@H](O)[C@@H]1O)C,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>4</sub>O<sub>9</sub>,394.457,27,27,2,28,9,5,9
0,4-deoxyglucarate,"Carbohydrates_90;
",O[C@@H](C[C@H](O)C(=O)[O-])[C@@H](O)C(=O)[O-],,,,,,,,,C<sub>6</sub>H<sub>8</sub>O<sub>7</sub>,192.124,13,13,0,12,5,3,7
0,CID5288150,"Other_90; Carbohydrates_90;
",O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@H]1OCC[C@@H]1OC1)CO,,,,,,,,,C<sub>1</sub><sub>0</sub>H<sub>1</sub><sub>8</sub>O<sub>7</sub>,250.246,17,17,2,18,5,4,7
0,"2',3'-Epoxypropylglucopyranoside","Other_90; Carbohydrates_90;
",O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@H]1OC[C@@H]1OC1)CO,,,,,,,,,C<sub>9</sub>H<sub>1</sub><sub>6</sub>O<sub>7</sub>,236.219,16,16,2,17,4,4,7
0,DEOXY-2-FLUORO-B-D-CELLOTRIOSIDE,"Carbohydrates_90;
",F[C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@@H]([C@@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO)[C@H](O)[C@H]2O)CO)[C@H](OC1[O-])CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>0</sub>FO<sub>1</sub><sub>5</sub>,505.42,34,34,3,36,7,9,15
0,CID 445968,"Carbohydrates_90;
",F[C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@@H]([C@@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO)[C@H](O)[C@H]2O)CO)[C@H](OC1O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>1</sub>FO<sub>1</sub><sub>5</sub>,506.428,34,34,3,36,7,10,15
0,5a3h,"Other_90; Carbohydrates_90; Carbohydrates_95;
",F[C@@H]1[C@@H](O)[C@@H](O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)[C@H](OC1)CO,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>1</sub>FO<sub>9</sub>,328.288,22,22,2,23,4,6,9
0,1gz9,"Carbohydrates_90;
",O([C@H]1O[C@@H]([C@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H]([C@@H](O)[C@@H](O)[C@@H]1O)C)CO)[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)O,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>5</sub>,488.438,33,33,3,35,6,10,15
0,FUC-(1-2)GAL,"Other_90; Carbohydrates_90; Carbohydrates_95;
",O([C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]1O)CO)[C@@H]1O[C@H]([C@@H](O)[C@@H](O)[C@@H]1O)C,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>2</sub>O<sub>1</sub><sub>0</sub>,326.297,22,22,2,23,3,7,10
0,FUC-(1-3)BGC-(4-1)GAL,"Carbohydrates_90;
",O([C@@H]1[C@@H](O[C@@H]2O[C@H]([C@@H](O)[C@@H](O)[C@@H]2O)C)[C@@H](O)[C@@H](O[C@@H]1CO)O)[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>5</sub>,488.438,33,33,3,35,6,10,15
0,Fluorodeoxyglucose F18,"Carbohydrates_90; Carbohydrates_95;
",F[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]1O)CO,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>FO<sub>5</sub>,182.147,12,12,1,12,1,4,5
0,GAL-(1-2)MAN-(3-1)ABE,"Carbohydrates_90;
",O([C@H]1[C@H](O[C@H]2O[C@@H]([C@H](O)C[C@H]2O)C)[C@H](O)[C@H](O[C@@H]1O)CO)[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>4</sub>,472.438,32,32,3,34,6,9,14
